iso_codes,n_feat,cwals_new,id,genus,name
als,17,0.593837535,NA,NA,NA
alt,1,0,aso,Turkic,Altai (Southern)
aly,12,0.827777778,aly,Central Pama-Nyungan,Alyawarra
amc,8,0.625,amc,Panoan,Amahuaca
ame,2,1,amu,Yanesha',Amuesha
amf,2,0,hmr,South Omotic,Hamer
amh,21,0.510770975,amh,Semitic,Amharic
amk,8,0.5,amq,South Halmahera - West New Guinea,Ambai
amn,7,0.428571429,amn,Border,Amanab
amo,5,0.8,amo,Kainji,Amo
amp,24,0.608630952,ala,Sepik Hill,Alamblak
amy,1,1,emm,Wagaydy,Emmi
anc,6,0.166666667,anc,West Chadic,Angas
ane,8,0.125,xar,Oceanic,Xârâcùù
anh,1,1,nnd,Madang,Nend
ank,8,0,goe,West Chadic,Goemai
ann,12,0.416666667,obo,Cross River,Obolo
ano,4,0.75,adk,NA,Andoke
anq,1,1,jrw,South Andamanese,Jarawa (in Andamans)
anu,7,0.571428571,any,Nilotic,Anywa
any,2,1,ayi,Kwa,Anyi
anz,5,0.8,ane,NA,Anêm
aoa,1,0.333333333,ago,Creoles and Pidgins,Angolar
aoc,1,0,pem,Cariban,Pemon
aoi,6,0.833333333,ann,Anindilyakwa,Anindilyakwa
aoj,7,0.428571429,aoj,Kombio-Arapesh,Mufian
aom,6,0.5,omi,Koiarian,Ömie
apb,5,0.2,saa,Oceanic,Sa'a
apc,6.5,0.84375,abe,Semitic,Arabic (Beirut)
ape,21,0.492063492,arp,Kombio-Arapesh,Arapesh (Mountain)
aph,9,0.888888889,ath,Mahakiranti,Athpare
apm,1,1,apc,Athapaskan,Apache (Chiricahua)
apn,5,0.533333333,api,Ge-Kaingang,Apinayé
apq,3,1,apk,Great Andamanese,A-Pucikwar
apr,4,0.25,alk,Oceanic,Arop-Lokep
apt,7,0.476190476,apt,Tani,Apatani
apu,27,0.533950617,apu,Purus,Apurinã
apw,5,1,apw,Athapaskan,Apache (Western)
apy,14,0.571428571,apl,Cariban,Apalaí
aqc,11,0.704545455,arc,Lezgic,Archi
aqp,3,0.888888889,atk,NA,Atakapa
arb,5,0.8,ams,Semitic,Arabic (Modern Standard)
ard,7,0.571428571,abn,Central Pama-Nyungan,Arabana
are,5,1,awe,Central Pama-Nyungan,Arrernte (Western)
arh,21,0.629251701,ika,Arhuacic,Ika
ari,1,1,akr,Caddoan,Arikara
arl,1,0.857142857,arb,Zaparoan,Arabela
arn,26,0.454212454,map,Araucanian,Mapudungun
aro,21,0.376417234,ana,Tacanan,Araona
arp,1,1,aho,Algonquian,Arapaho
arr,9,0.333333333,kaa,Ramarama,Karó (Arára)
arv,1,0.25,abo,Lowland East Cushitic,Arbore
arw,11,0.618181818,ara,Caribbean Arawakan,Arawak
ary,13,0.615384615,amr,Semitic,Arabic (Moroccan)
arz,28,0.520833333,aeg,Semitic,Arabic (Egyptian)
asa,6,1,pre,Bantoid,Pare
asm,6,1,ass,Indic,Assamese
atw,3,1,ats,Palaihnihan,Atsugewi
aty,10,0.45,anj,Oceanic,Anejom
auc,7,0.785714286,wao,NA,Waorani
aun,4,0.75,one,West Wapei,One
auw,1,1,awy,Border,Awyi
ava,7,0.857142857,ava,Avar-Andic-Tsezic,Avar
avi,2,0.5,avk,Kwa,Avikam
avt,8,0.25,au,Wapei-Palei,Au
avu,6,0.555555556,avo,Moru-Ma'di,Avokaya
awb,7,0.857142857,awa,Eastern Highlands,Awa
awi,2,1,awi,Awin-Pare,Aekyom
awn,4,0.583333333,awn,Central Cushitic,Awngi
axb,16,0.40625,abi,South Guaicuruan,Abipón
ayc,21,0.629251701,aym,Aymaran,Aymara (Central)
ayn,1,1,ars,Semitic,Arabic (San'ani)
ayo,3,1,ayr,Zamucoan,Ayoreo
ayz,27,0.230599647,may,North-Central Bird's Head,Maybrat
azb,9.5,0.855555556,azi,Turkic,Azari (Iranian)
azj,10,0.933333333,NA,NA,NA
baa,9,0.111111111,sis,Oceanic,Sisiqa
bae,8,0.866666667,bae,Inland Northern Arawakan,Baré
bag,3,1,tki,Bantoid,Tuki
bak,12,0.666666667,bsk,Turkic,Bashkir
bam,13,0.384615385,bam,Western Mande,Bambara
ban,4,0.5,bal,Malayo-Sumbawan,Balinese
bas,2,0.5,bas,Bantoid,Basaá
bav,11,0.363636364,bab,Bantoid,Babungo
baw,3,0.333333333,mbi,Bantoid,Mbili
bbb,9,0.666666667,NA,NA,NA
bbc,9,0.222222222,bto,Northwest Sumatra-Barrier Islands,Batak (Toba)
bbd,2,1,bau,Madang,Bau
bbl,8,0.625,ttu,Nakh,Tsova-Tush
bbn,7,0.142857143,NA,NA,NA
bbo,2,0.5,bbf,Western Mande,Bobo Madaré (Northern)
bca,6,0,bai,Bai,Bai
bci,2,0.5,ble,Kwa,Baule
bck,3,1,bnb,Bunuban,Bunuba
bcl,6,0.333333333,bkl,Greater Central Philippine,Bikol
bcm,7,0.428571429,bnn,Oceanic,Banoni
bco,2,1,kll,Bosavi,Kaluli
bcq,9,0.746031746,gim,North Omotic,Gimira
bdh,5,0.2,bka,Bongo-Bagirmi,Baka (in South Sudan)
bdk,2,0.5,bdk,Lezgic,Budukh
bdl,4,0.5,baj,Sama-Bajaw,Bajau (Sama)
bdm,9,0.666666667,bud,Biu-Mandara,Buduma
bdr,8,0.125,bwc,Sama-Bajaw,Bajau (West Coast)
bds,9,0.722222222,brn,Southern Cushitic,Burunge
bdu,4,1,bkn,Bantoid,Bakundu
bdy,5,0.895833333,bca,Southeastern Pama-Nyungan,Bandjalang (Casino)
bee,10,0.55,bya,Bodic,Byansi
bef,1,0,beb,Eastern Highlands,Benabena
bej,25,0.622380952,bej,Beja,Beja
bel,4,0.75,blr,Slavic,Belorussian
bem,4,0.75,bem,Bantoid,Bemba
ben,5,0.466666667,ben,Indic,Bengali
bev,1,0,bet,Kru,Bété
bex,9,0.111111111,jmo,Bongo-Bagirmi,Jur Mödö
bfa,7,0.388888889,bar,Nilotic,Bari
bft,6,0.666666667,blt,Bodic,Balti
bfw,11,0.681818182,rem,Munda,Remo
bgp,3,0.555555556,blc,Iranian,Baluchi
bgr,20,0.201428571,baw,Kuki-Chin,Bawm
bhg,7,0.571428571,bin,Binanderean,Binandere
bho,6,0.666666667,bho,Indic,Bhojpuri
bhq,26,0.365384615,NA,NA,NA
bhw,10,0.4,bik,South Halmahera - West New Guinea,Biak
bia,3,0.666666667,bdm,Western Pama-Nyungan,Badimaya
bib,1,1,bis,Eastern Mande,Bisa
bid,2,1,bid,East Chadic,Bidiya
bim,6,0.333333333,bmb,Northern-Central Gur,Bimoba
bin,3,0,bni,Edoid,Bini
bio,6,0.833333333,bio,Kwomtari,Nai
bip,3,1,bia,Bantoid,Bila
bis,1,1,bsm,Creoles and Pidgins,Bislama
bjt,3,0.666666667,NA,NA,NA
bjy,2,1,dhb,Northern Pama-Nyungan,Dharumbal
bkc,5,0.52,bak,Ubangi,Baka (in Cameroon)
bkk,2,0.466666667,bkt,Indic,Brokskat
bkl,1,0,brk,Tor,Berik
bla,11,0.909090909,bla,Algonquian,Blackfoot
blb,8,0.5,bil,Bilua,Bilua
blc,10,0.7,bco,Bella Coola,Bella Coola
ble,3,0.666666667,NA,NA,NA
bli,2,1,bol,Bantoid,Bolia
bll,10,0.6,blx,Core Siouan,Biloxi
blw,2,1,blg,Northern Luzon,Balangao
bmi,25,0.36,bag,Bongo-Bagirmi,Bagirmi
bmr,7,1,mui,Boran,Muinane
bmu,4,1,bmr,Finisterre-Huon,Burum
bnc,7,0.571428571,btk,Northern Luzon,Bontok
bng,1,1,bga,Bantoid,Benga
bni,2,1,bob,Bantoid,Bobangi
boa,1,1,bor,Boran,Bora
bod,3.6,0.640952381,jad,Bodic,Jad
boi,10,0.8,cba,Chumash,Chumash (Barbareño)
bol,1,1,blq,West Chadic,Bole
bom,11,0.363636364,bir,Platoid,Birom
bor,11,0.818181818,brr,Bororoan,Bororo
bos,15,0.438095238,bos,Slavic,Bosnian
bot,7,0.571428571,bgo,Bongo-Bagirmi,Bongo
boz,1,0.6,boz,Western Mande,Bozo (Tigemaxo)
bpu,3,0.555555556,bon,Madang,Bongu
bqp,3,0.333333333,bus,Eastern Mande,Busa
bre,11,0.636363636,bre,Celtic,Breton
brg,9,0.555555556,baq,Bolivia-Parana,Baure
brh,24,0.708333333,brh,Northern Dravidian,Brahui
bri,4,1,bku,Bantoid,Bakueri
brm,7,0.714285714,bbu,Ubangi,Barambu
brx,7,0.714285714,bod,Bodo-Garo,Bodo
bsc,1,1,bsr,Tenda,Basari
bsh,1,0,ktz,Nuristani,Kati (in Afghanistan)
bsk,24,0.754464286,bur,NA,Burushaski
bsn,26,0.531135531,brs,Tucanoan,Barasano
bsw,1,0.25,bys,Lowland East Cushitic,Bayso
btx,20,0.441666667,bkr,Northwest Sumatra-Barrier Islands,Batak (Karo)
bud,3,1,ncm,Northern-Central Gur,Ncàm
buf,6,0.833333333,bsh,Bantoid,Bushoong
bug,1,0,bug,South Sulawesi,Bugis
buh,6,0,pnu,Hmong-Mien,Bunu (Younuo)
bul,16,0.458333333,bul,Slavic,Bulgarian
bum,2,0.5,buw,Bantoid,Bulu
buo,6,0.833333333,bun,East Bougainville,Buin
buu,7,0.428571429,bdu,Bantoid,Budu
bvq,1,1,brz,Bongo-Bagirmi,Birri
bvr,6,0.833333333,bua,Burarran,Burarra
bvx,3,1,bbl,Bantoid,Babole
bvz,4,0.5,bzi,East Geelvink Bay,Bauzi
bwe,7,0.285714286,kbw,Karen,Karen (Bwe)
bwi,1,0,bnw,Inland Northern Maipuran,Baniwa
bxk,1,0.666666667,buk,Bantoid,Bukusu
bxm,12,0.872222222,but,Mongolic,Buriat
byn,6,1,bln,Central Cushitic,Bilin
byr,5,1,bry,Angan,Baruya
byw,10,0.83,bel,Mahakiranti,Belhare
byx,3,0.666666667,bng,Baining,Qaget
bzd,10,0.4,bri,Talamanca,Bribri
bzf,2,1,boi,Ndu,Boiken
bzi,2,1,NA,NA,NA
bzq,3,0.333333333,bui,South Halmahera - West New Guinea,Buli (in Indonesia)
bzr,9,0.481481481,bii,Northern Pama-Nyungan,Biri
caa,1,1,coi,Mayan,Chortí
cab,9,0.666666667,grf,Caribbean Arawakan,Garífuna
cac,3,1,NA,NA,NA
cak,3,0.666666667,cak,Mayan,Cakchiquel
cam,9,0.111111111,cem,Oceanic,Cèmuhî
can,2,1,chb,Lower Sepik,Chambri
cao,13,0.615384615,cbo,Panoan,Chácobo
cap,6,0.666666667,cpy,Uru-Chipaya,Chipaya
caq,17,0.235294118,nca,Nicobarese,Nicobarese (Car)
car,17,0.558823529,car,Cariban,Carib
cas,7,0.721428571,mos,Mosetenan,Mosetén
cat,8,0.208333333,ctl,Romance,Catalan
cav,3,0.833333333,cav,Tacanan,Cavineña
cax,4,1,cqt,Chiquito,Chiquitano
cbc,7,1,crp,Tucanoan,Carapana
cbi,7,0.714285714,cay,Barbacoan,Cayapa
cbk,1,1,cvc,Creoles and Pidgins,Chavacano
cbr,8,0.625,cas,Panoan,Cashibo
cbs,2,0.166666667,csh,Panoan,Cashinahua
cbt,1,0.333333333,chy,Cahuapanan,Chayahuita
cbu,3,0.666666667,can,NA,Candoshi
cco,11,0.484848485,ccm,Chinantecan,Chinantec (Comaltepec)
cdm,5,0.7,cpn,Mahakiranti,Chepang
ceb,9,0.444444444,ceb,Greater Central Philippine,Cebuano
ces,11,0.636363636,cze,Slavic,Czech
cgg,18,0.509259259,nko,Bantoid,Nkore-Kiga
cha,23,0.313043478,cha,Chamorro,Chamorro
chb,5,1,msc,Chibcha-Duit,Muisca
chc,1,0,ctw,Catawban,Catawba
chd,1,0,cho,Tequistlatecan,Chontal (Highland)
che,12,0.527777778,chc,Nakh,Chechen
chf,10,0.5,cmy,Mayan,Chontal Maya
chh,7,0.571428571,ckl,Chinookan,Chinook (Lower)
chk,4,0.5,cuu,Oceanic,Chuukese
chl,18,0.753968254,cah,California Uto-Aztecan,Cahuilla
cho,11,0.909090909,cct,Muskogean,Choctaw
chp,6,0.666666667,chp,Athapaskan,Chipewyan
chq,6,0.5,chq,Chinantecan,Chinantec (Quiotepec)
chr,8,0.75,che,Southern Iroquoian,Cherokee
cht,8,1,NA,NA,NA
chv,17,0.677310924,chv,Turkic,Chuvash
chx,6,0.766666667,chn,Bodic,Chantyal
chy,3,0.555555556,cyn,Algonquian,Cheyenne
cic,1,1,cck,Muskogean,Chickasaw
cid,12,0.611111111,chi,Chimariko,Chimariko
cir,16,0.18125,tin,Oceanic,Tinrin
cja,1,0,chw,Malayo-Sumbawan,Cham (Western)
cjh,2,1,chl,Tsamosan,Chehalis (Upper)
cjs,1,0,shr,Turkic,Shor
ckb,13,0.846153846,krd,Iranian,Kurdish (Central)
cko,9,0.222222222,anu,Kwa,Anufo
ckt,28,0.470238095,chk,Northern Chukotko-Kamchatkan,Chukchi
cku,24,0.746428571,koa,Muskogean,Koasati
cla,2,0,ron,West Chadic,Ron
cld,6,1,cld,Semitic,Chaldean (Modern)
cle,21,0.392857143,cle,Chinantecan,Chinantec (Lealao)
clh,8,1,NA,NA,NA
clk,1,1,idu,Digaroan,Idu
clm,1,1,cla,Central Salish,Clallam
clo,8,0.75,chx,Tequistlatecan,Chontal (Huamelultec Oaxaca)
cme,5,0.2,kir,Southern-Central Gur,Kirma
cmi,1,1,emc,Choco,Embera Chami
cmn,25,0.208,kug,Chinese,Kunming
cng,8,0.7,NA,NA,NA
cnh,14,0.047619048,lai,Kuki-Chin,Lai
cni,15,0.616666667,NA,NA,NA
cnm,3,1,NA,NA,NA
cnt,1,0.333333333,cte,Chinantecan,Chinantec (Tepetotutla)
coc,5,0.68,ccp,Yuman,Cocopa
cod,11,0.515151515,coc,Tupi-Guaraní,Cocama
coe,2,1,kje,Tucanoan,Koreguaje
cof,5,0.933333333,tsf,Barbacoan,Tsafiki
col,1,1,cwe,Interior Salish,Columbia-Wenatchi
com,21,0.572335601,cmn,Numic,Comanche
coo,4,1,cmx,Central Salish,Comox
cop,10,0.45,cop,Egyptian-Coptic,Coptic
cor,10,0.4,crn,Celtic,Cornish
cpa,10,0.566666667,cpl,Chinantecan,Chinantec (Palantla)
cpc,15,0.616666667,NA,NA,NA
cqd,24,0.048611111,NA,NA,NA
crd,5,0.6,coe,Interior Salish,Coeur d'Alene
crh,1,0.5,cri,Turkic,Crimean Tatar
crk,23,0.597826087,cre,Algonquian,Cree (Plains)
crn,6,0.666666667,cor,Corachol,Cora
cro,4,0.75,cro,Core Siouan,Crow
crq,1,0,NA,NA,NA
crt,1,0,NA,NA,NA
crw,14,0.071428571,chr,Bahnaric,Chrau
csm,1,1,mcs,Miwok,Miwok (Central Sierra)
css,6.5,0.775,cos,Costanoan,Rumsien
csw,3,0.666666667,cea,Algonquian,Cree (Swampy)
csy,9,0.111111111,chs,Kuki-Chin,Chin (Siyin)
csz,22,0.511688312,coo,Coosan,Coos (Hanis)
ctd,8,0.25,cti,Kuki-Chin,Chin (Tiddim)
ctg,1,0.714285714,bec,Indic,Bengali (Chittagong)
cti,1,1,NA,NA,NA
ctm,9,0.6,ctm,NA,Chitimacha
ctp,6,0.166666667,cso,Zapotecan,Chatino (Sierra Occidental)
ctu,1,1,NA,NA,NA
cua,1,1,cua,Bahnaric,Cua
cub,7,0.785714286,cub,Tucanoan,Cubeo
cui,2,1,cui,Guahiban,Cuiba
cup,8,0.625,cup,California Uto-Aztecan,Cupeño
cyb,19,0.684210526,cyv,NA,Cayuvava
cym,7.5,0.160714286,wec,Celtic,Welsh (Colloquial)
dag,9,0.444444444,dgb,Northern-Central Gur,Dagbani
dai,3,0,day,Day,Day
dal,2,1,dah,Dahalo,Dahalo
dan,14,0.380952381,dsh,Germanic,Danish
dar,5,0.8,drg,Lak-Dargwa,Dargwa
dau,2,0.5,sil,Daju,Sila
dav,2,0.5,dbd,Bantoid,Dabida
dbl,11,0.690692641,dyi,Northern Pama-Nyungan,Dyirbal
ddj,8,0.625,djr,Western Pama-Nyungan,Djaru
ddo,8,0.71875,tsz,Avar-Andic-Tsezic,Tsez
dds,8,0.75,dds,Dogon,Donno So
deg,3,0.333333333,deg,Edoid,Degema
der,4,1,deu,Bodo-Garo,Deuri
des,9,0.703703704,des,Tucanoan,Desano
deu,27,0.349206349,gbl,Germanic,German (Berlin)
dga,6,0.166666667,dga,Northern-Central Gur,Dagaare
dgl,22,0.638528139,nbd,Nubian,Nubian (Dongolese)
dgz,22,0.583333333,dag,Dagan,Daga
dhi,3,1,dhm,Dhimalic,Dhimal
dhr,8,0.5,dhr,Western Pama-Nyungan,Dhargari
dhv,21,0.158730159,dre,Oceanic,Drehu
did,11,0.484848485,did,Surmic,Didinga
dif,9,0.62037037,diy,Central Pama-Nyungan,Diyari
dih,14.5,0.610952381,die,Yuman,Diegueño (Mesa Grande)
dim,7,0.857142857,dim,South Omotic,Dime
dip,7,0.428571429,din,Nilotic,Dinka
diq,3,1,zaz,Iranian,Zazaki
dis,6,0.833333333,dms,Bodo-Garo,Dimasa
div,3,0.933333333,dhi,Indic,Dhivehi
djd,3,0.8,jam,Jaminjungan,Jaminjung
dje,3,0.333333333,zar,Songhay,Zarma
dji,5,0.8,djn,Western Pama-Nyungan,Djinang
djj,8,0.625,ndj,Ndjébbana,Ndjébbana
djk,22,0.045454545,ndy,Creoles and Pidgins,Ndyuka
djm,9,0.555555556,jms,Dogon,Jamsay
djr,3,1,djm,Western Pama-Nyungan,Djambarrpuyngu
dju,8,0.625,sar,Sepik Hill,Sare
dmk,5,0.8,dmk,Indic,Domaaki
dni,23,0.596273292,dni,Dani,Dani (Lower Grand Valley)
dnj,4,0.25,dan,Eastern Mande,Dan
dny,1,1,den,Arauan,Dení
doo,5,0.8,dgo,Ubangi,Dongo
dow,10,0.68,doy,Samba-Duru,Doyayo
drd,5,0.6,drm,Bodic,Darma
drl,9,0.777777778,pkn,Central Pama-Nyungan,Paakantyi
dru,12,0.777777778,ruk,Rukai,Rukai (Tanan)
dsb,3,0.666666667,srl,Slavic,Sorbian (Lower)
dsh,2,1,dha,Lowland East Cushitic,Dhaasanac
dta,10,0.67,dgr,Mongolic,Dagur
dtd,1,1,nit,Southern Wakashan,Nitinaht
dua,1,0,dua,Bantoid,Duala
duc,6,0.5,dun,Duna,Duna
dud,7,0.142857143,duk,Kainji,Duka
duf,2,0.5,pta,Oceanic,Paita
duj,12,0.333333333,dda,Western Pama-Nyungan,Dhuwal (Dätiwuy)
duo,2,0,agd,Greater Central Philippine,Agta (Dupaningan)
dus,9,0.666666667,dmi,Mahakiranti,Dumi
duu,3,0.333333333,dul,Nungish,Dulong
dyo,23,0.543478261,dio,Bak,Diola-Fogny
dyy,6,0.655555556,dja,Northern Pama-Nyungan,Djabugay
dzg,11,0.545454545,NA,NA,NA
efi,3,0.666666667,efi,Cross River,Efik
ega,1,0,ega,Ega,Ega
eip,7,0.714285714,eip,Mek,Eipo
ekg,11,0.651515152,eka,Wissel Lakes-Kemandoga,Ekari
eko,1,1,eko,Bantoid,Ekoti
eky,16,0.0625,kyl,Karen,Kayah Li (Eastern)
ell,28,0.420918367,gcy,Greek,Greek (Cypriot)
eme,7,1,eme,Tupi-Guaraní,Émérillon
emi,7,0.142857143,mus,Oceanic,Mussau
emp,8,1,emb,Choco,Emberá (Northern)
enf,7,0.857142857,NA,NA,NA
eng,28,0.278911565,eng,Germanic,English
enh,7,0.857142857,NA,NA,NA
enn,12,0.25,egn,Edoid,Engenni
eno,7,0.714285714,eno,Enggano,Enggano
enx,4,1,lng,Mascoian,Lengua
erg,9,0.666666667,err,Oceanic,Erromangan
erk,5,0.6,erk,Oceanic,Efate (South)
ese,8,0.125,ese,Tacanan,Ese Ejja
esq,2,1,ess,NA,Esselen
ess,2,1,ysl,Eskimo,Yupik (St. Lawrence Island)
est,13,0.615384615,est,Finnic,Estonian
esu,22,0.79004329,ych,Eskimo,Yup'ik (Chevak)
eus,28,0.619047619,bqb,Basque,Basque (Bidasoa Valley)
eve,9,0.666666667,evn,Tungusic,Even
evn,27,0.716049383,eve,Tungusic,Evenki
ewe,24,0.326388889,ewa,Kwa,Ewe (Anglo)
ewo,9,0.444444444,ewo,Bantoid,Ewondo
faa,4,1,fas,Fasu,Fasu
fao,3,0.333333333,far,Germanic,Faroese
fij,25,0.22,fij,Oceanic,Fijian
fin,26,0.435897436,fin,Finnic,Finnish
fla,10,0.571428571,kls,Interior Salish,Kalispel
fon,5,0.2,fon,Kwa,Fongbe
for,5,0.8,for,Eastern Highlands,Fore
fos,1,1,sry,East Formosan,Siraya
fqs,5,0.6,fqs,Baibai-Fas,Momu
fra,26,0.381410256,fre,Romance,French
frs,5,0.133333333,fea,Germanic,Frisian (Eastern)
fry,1,0,frw,Germanic,Frisian (Western)
fub,16,0.770833333,fua,Peul-Serer,Fulfulde (Adamawa)
fud,2,0,fue,Oceanic,Futuna (East)
fuf,1,1,fgu,Peul-Serer,Fula (Guinean)
fun,6,1,ful,Yatê,Fulniô
fut,11,0.181818182,fut,Oceanic,Futuna-Aniwa
fuu,7,0.571428571,bgr,Bongo-Bagirmi,Bagiro
fvr,15,0.528571429,fur,NA,Fur
gaa,6,0.5,ga,Kwa,Gã
gae,11,0.818181818,wrk,Alto-Orinoco,Warekena
gag,1,1,gag,Turkic,Gagauz
gah,10,1,gah,Eastern Highlands,Gahuku
gaj,7,0.857142857,gds,Eastern Highlands,Gadsup
gbd,4,0.75,krj,Western Pama-Nyungan,Karadjeri
gbi,1,0,gll,North Halmaheran,Galela
gbp,9,0.481481481,gbb,Gbaya-Manza-Ngbaka,Gbeya Bossangoa
gbr,6,0,gwa,Nupoid,Gwari
gbu,6,0.566666667,gaa,NA,Gaagudju
gcd,11,0.636363636,yuk,Tangkic,Yukulta
gdb,1,1,gdk,Central Dravidian,Gadaba (Kondekor)
gde,10,0.5,gud,Biu-Mandara,Gude
gdm,8,0.5,laa,NA,Laal
gdo,8,0.729166667,god,Avar-Andic-Tsezic,Godoberi
gdq,11,0.527272727,meh,Semitic,Mehri
geb,1,1,kie,Mikarew,Kire
gey,2,1,eny,Bantoid,Enya
gge,3,0.666666667,grg,Burarran,Gurr-goni
ggn,9,0.444444444,NA,NA,NA
ggo,8,0.625,NA,NA,NA
ggw,2,1,gog,Gogodala,Gogodala
ghs,4,0.75,guh,Binanderean,Guhu-Samane
gil,19,0.421052632,krb,Oceanic,Kiribati
gis,2,0.5,NA,NA,NA
git,3,0.666666667,git,Tsimshianic,Gitksan
giz,2,0.5,NA,NA,NA
gju,2,1,goj,Indic,Gojri
gkn,9,0.222222222,gok,Cross River,Gokana
gla,11,0.386363636,gae,Celtic,Gaelic (Scots)
gld,2,0.416666667,nai,Tungusic,Nanai
gle,21,0.35600907,ird,Celtic,Irish (Donegal)
glg,1,1,glc,Romance,Galician
glk,4,0.5,gil,Iranian,Gilaki
glu,6,0.166666667,gul,Bongo-Bagirmi,Gula (in Central African Republic)
glv,1,0.333333333,mnx,Celtic,Manx
gmm,5,0.6,mdo,Gbaya-Manza-Ngbaka,Mbodomo
gmv,4,1,gam,North Omotic,Gamo
gni,23,0.572463768,goo,Bunuban,Gooniyandi
gnn,1,1,gmt,Western Pama-Nyungan,Gumatj
gno,8,0.625,NA,NA,NA
gnr,6,0.666666667,ggu,Southeastern Pama-Nyungan,Gureng Gureng
god,1.5,0.625,ddj,Kru,Dadjriwalé
gol,1,1,gol,Mel,Gola
gpn,2,0.625,tap,Gapun,Taiap
gqa,3,1,gnd,Biu-Mandara,Ga'anda
grj,25,0.413333333,grb,Kru,Grebo
grt,23,0.606832298,gar,Bodo-Garo,Garo
gru,3,1,sod,Semitic,Soddo
gso,6,0.666666667,gbs,Gbaya-Manza-Ngbaka,Gbaya (Southwest)
gta,1,1,gto,NA,Guató
gub,5,0.6,gjj,Tupi-Guaraní,Guajajara
guc,6,0.833333333,goa,Caribbean Arawakan,Goajiro
gug,23,0.414492754,gua,Tupi-Guaraní,Guaraní
gui,1,0.666666667,crg,Tupi-Guaraní,Chiriguano
guj,7,0.571428571,guj,Indic,Gujarati
guk,8,0.75,gmz,NA,Gumuz
gup,12,0.579166667,bbw,Gunwinygic,Bininj Gun-Wok
guz,1,1,gus,Bantoid,Gusii
gvf,9,0.555555556,gln,Chimbu,Golin
gvn,11,0.539393939,kya,Northern Pama-Nyungan,Kuku-Yalanji
gvo,2,0.5,gav,Monde,Gavião
gvr,9,0.444444444,NA,NA,NA
gvs,11,0.545454545,gmw,Oceanic,Gumawana
gwd,1,1,dug,Lowland East Cushitic,Dullay (Gollango)
gww,8,0.5,gnn,Worrorran,Gunin
gya,2,0,gbk,Gbaya-Manza-Ngbaka,Gbaya (Northwest)
gyb,3,0.666666667,grs,Madang,Garus
gyd,26,0.474358974,kay,Tangkic,Kayardild
gym,8,0.583333333,nbr,Guaymiic,Ngäbere
