"","word","freq","logfreq","mlu","wordcount","args"
"33","abbraccialo",3.40078217990138e-06,-12.5915050998881,1,11,"Italian"
"34","abbracciano",1.70039108995069e-05,-10.982067187454,4.6,11,"Italian"
"35","abbracciarlo",3.40078217990138e-06,-12.5915050998881,4,12,"Italian"
"36","abbracciati",1.02023465397041e-05,-11.49289281122,7.66666666666667,11,"Italian"
"37","abbronzata",3.40078217990138e-06,-12.5915050998881,6,10,"Italian"
"38","abbronzatura",3.40078217990138e-06,-12.5915050998881,6,12,"Italian"
"39","abilità",3.40078217990138e-06,-12.5915050998881,6,7,"Italian"
"40","abita",2.7206257439211e-05,-10.5120635582083,8.625,5,"Italian"
"41","abitano",2.7206257439211e-05,-10.5120635582083,6.625,7,"Italian"
"42","abiti",2.04046930794083e-05,-10.79974563066,5.83333333333333,5,"Italian"
"43","abitiamo",1.02023465397041e-05,-11.49289281122,6.33333333333333,8,"Italian"
"44","abituata",6.80156435980275e-06,-11.8983579193282,23.5,8,"Italian"
"45","Abu",1.36031287196055e-05,-11.2052107387682,7.25,3,"Italian"
"46","aca",6.80156435980275e-06,-11.8983579193282,4.5,3,"Italian"
"47","accanto",5.78132970583234e-05,-9.75829175583189,7.41176470588235,7,"Italian"
"48","accarezza",1.02023465397041e-05,-11.49289281122,11,9,"Italian"
"49","accarezzano",3.40078217990138e-06,-12.5915050998881,4,11,"Italian"
"50","accarezzare",6.80156435980275e-06,-11.8983579193282,5.5,11,"Italian"
"51","accarezzarlo",6.80156435980275e-06,-11.8983579193282,6.5,12,"Italian"
"52","accarezzato",3.40078217990138e-06,-12.5915050998881,10,11,"Italian"
"53","accarezzo",3.40078217990138e-06,-12.5915050998881,2,9,"Italian"
"54","accende",3.40078217990138e-05,-10.2889200068941,7.4,7,"Italian"
"55","accendere",4.08093861588165e-05,-10.1065984501001,7.66666666666667,9,"Italian"
"56","accendeva",3.40078217990138e-06,-12.5915050998881,5,9,"Italian"
"57","accendi",4.76109505186193e-05,-9.95244777027284,6.57142857142857,7,"Italian"
"58","accendiamo",3.40078217990138e-05,-10.2889200068941,4.4,10,"Italian"
"59","accendiamolo",3.40078217990138e-06,-12.5915050998881,5,12,"Italian"
"60","accendilo",3.40078217990138e-06,-12.5915050998881,4,9,"Italian"
"61","accendo",1.70039108995069e-05,-10.982067187454,5.6,7,"Italian"
"62","accendono",3.40078217990138e-06,-12.5915050998881,15,9,"Italian"
"63","accento",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"64","accesa",2.7206257439211e-05,-10.5120635582083,4.875,6,"Italian"
"65","accese",6.80156435980275e-06,-11.8983579193282,6,6,"Italian"
"66","accesi",3.40078217990138e-06,-12.5915050998881,5,6,"Italian"
"67","acceso",3.74086039789152e-05,-10.1936098270897,8.90909090909091,6,"Italian"
"68","accesso",3.40078217990138e-06,-12.5915050998881,2,7,"Italian"
"69","accetta",3.40078217990138e-06,-12.5915050998881,18,7,"Italian"
"70","acchiappa",1.36031287196055e-05,-11.2052107387682,5,9,"Italian"
"71","acchiappala",3.40078217990138e-06,-12.5915050998881,1,11,"Italian"
"72","acchiappare",3.40078217990138e-06,-12.5915050998881,19,11,"Italian"
"73","accidempoli",6.80156435980275e-06,-11.8983579193282,1,11,"Italian"
"74","accidenti",3.40078217990138e-05,-10.2889200068941,4.2,9,"Italian"
"75","accinge",6.80156435980275e-06,-11.8983579193282,10,7,"Italian"
"76","accipicchia",1.02023465397041e-05,-11.49289281122,2,11,"Italian"
"77","accoccolato",3.40078217990138e-06,-12.5915050998881,18,11,"Italian"
"78","accomodala",3.40078217990138e-06,-12.5915050998881,4,10,"Italian"
"79","accomodata",3.40078217990138e-06,-12.5915050998881,4,10,"Italian"
"80","accompagna",1.02023465397041e-05,-11.49289281122,5,10,"Italian"
"81","accompagnato",3.40078217990138e-06,-12.5915050998881,9,12,"Italian"
"82","accontenti",3.40078217990138e-06,-12.5915050998881,7,10,"Italian"
"83","accorciato",3.40078217990138e-06,-12.5915050998881,8,10,"Italian"
"84","accordo",4.08093861588165e-05,-10.1065984501001,5.66666666666667,7,"Italian"
"85","accorge",6.80156435980275e-06,-11.8983579193282,8.5,7,"Italian"
"86","accorgi",3.40078217990138e-06,-12.5915050998881,11,7,"Italian"
"87","accorgono",6.80156435980275e-06,-11.8983579193282,19.5,9,"Italian"
"88","accorta",3.40078217990138e-06,-12.5915050998881,11,7,"Italian"
"89","accorti",3.40078217990138e-06,-12.5915050998881,9,7,"Italian"
"90","accorto",1.02023465397041e-05,-11.49289281122,7.33333333333333,7,"Italian"
"91","accurata",3.40078217990138e-06,-12.5915050998881,7,8,"Italian"
"92","accusato",3.40078217990138e-06,-12.5915050998881,11,8,"Italian"
"93","ace",3.40078217990138e-06,-12.5915050998881,1,3,"Italian"
"94","aceto",3.40078217990138e-06,-12.5915050998881,3,5,"Italian"
"95","acetone",3.40078217990138e-06,-12.5915050998881,10,7,"Italian"
"96","acidissimo",3.40078217990138e-06,-12.5915050998881,1,10,"Italian"
"97","acido",6.80156435980275e-06,-11.8983579193282,3.5,5,"Italian"
"98","acqua",0.000925012752933175,-6.98570303359211,7.82720588235294,5,"Italian"
"99","acquaio",5.78132970583234e-05,-9.75829175583189,7.52941176470588,7,"Italian"
"100","acquetta",6.80156435980275e-06,-11.8983579193282,6.5,8,"Italian"
"101","acrobazie",6.80156435980275e-06,-11.8983579193282,9.5,9,"Italian"
"102","ad",0.000744771297398402,-7.2024333700716,10.4246575342466,2,"Italian"
"103","Ada",2.38054752593096e-05,-10.6455949508328,6,3,"Italian"
"104","adatta",3.40078217990138e-06,-12.5915050998881,14,6,"Italian"
"105","adatto",3.40078217990138e-06,-12.5915050998881,11,6,"Italian"
"106","addice",3.40078217990138e-06,-12.5915050998881,18,6,"Italian"
"107","addio",2.38054752593096e-05,-10.6455949508328,5.42857142857143,5,"Italian"
"108","addirittura",6.80156435980276e-05,-9.59577282633411,6.15,11,"Italian"
"109","addo",3.40078217990138e-06,-12.5915050998881,11,4,"Italian"
"110","addobbi",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"111","addobbo",3.40078217990138e-06,-12.5915050998881,13,7,"Italian"
"112","addormenta",1.36031287196055e-05,-11.2052107387682,9.75,10,"Italian"
"113","addormentaai",3.40078217990138e-06,-12.5915050998881,8,12,"Italian"
"114","addormentala",3.40078217990138e-06,-12.5915050998881,2,12,"Italian"
"115","addormentare",3.40078217990138e-06,-12.5915050998881,9,12,"Italian"
"116","addormentarmi",3.40078217990138e-06,-12.5915050998881,23,13,"Italian"
"117","addormentarti",3.40078217990138e-06,-12.5915050998881,9,13,"Italian"
"118","addormentata",6.80156435980275e-06,-11.8983579193282,12,12,"Italian"
"119","addormentati",3.40078217990138e-06,-12.5915050998881,23,12,"Italian"
"120","addormentato",6.80156435980275e-06,-11.8983579193282,10.5,12,"Italian"
"121","addosso",9.86226832171399e-05,-9.22420926990163,9.68965517241379,7,"Italian"
"122","adesivo",6.80156435980275e-06,-11.8983579193282,11,7,"Italian"
"123","adesso",0.00229892875361333,-6.07531202384514,6.90532544378698,6,"Italian"
"124","adopera",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"125","adoperale",3.40078217990138e-06,-12.5915050998881,3,9,"Italian"
"126","adottano",3.40078217990138e-06,-12.5915050998881,3,8,"Italian"
"127","adria",6.80156435980275e-06,-11.8983579193282,1,5,"Italian"
"128","adriana",3.40078217990138e-06,-12.5915050998881,1,7,"Italian"
"129","Adriana",1.70039108995069e-05,-10.982067187454,6,7,"Italian"
"130","aerei",3.40078217990138e-06,-12.5915050998881,10,5,"Italian"
"131","aereo",0.000170039108995069,-8.67948209445996,5.84,5,"Italian"
"132","aereoplano",3.40078217990138e-06,-12.5915050998881,9,10,"Italian"
"133","aeroplani",1.02023465397041e-05,-11.49289281122,9.66666666666667,9,"Italian"
"134","aeroplanini",3.40078217990138e-06,-12.5915050998881,7,11,"Italian"
"135","aeroplanino",6.80156435980275e-06,-11.8983579193282,9,11,"Italian"
"136","aeroplano",8.16187723176331e-05,-9.41345126954016,6.875,9,"Italian"
"137","afar",3.40078217990138e-06,-12.5915050998881,6,4,"Italian"
"138","affaccia",3.40078217990138e-06,-12.5915050998881,12,8,"Italian"
"139","affacciata",3.40078217990138e-06,-12.5915050998881,17,10,"Italian"
"140","affannoso",3.40078217990138e-06,-12.5915050998881,5,9,"Italian"
"141","affare",6.80156435980275e-06,-11.8983579193282,9.5,6,"Italian"
"142","affari",3.40078217990138e-06,-12.5915050998881,22,6,"Italian"
"143","affarino",3.40078217990138e-06,-12.5915050998881,6,8,"Italian"
"144","affatto",3.40078217990138e-06,-12.5915050998881,4,7,"Italian"
"145","affermi",3.40078217990138e-06,-12.5915050998881,4,7,"Italian"
"146","affetuoso",3.40078217990138e-06,-12.5915050998881,7,9,"Italian"
"147","affoga",2.04046930794083e-05,-10.79974563066,4.5,6,"Italian"
"148","affogare",1.02023465397041e-05,-11.49289281122,5.33333333333333,8,"Italian"
"149","affogata",3.40078217990138e-06,-12.5915050998881,7,8,"Italian"
"150","affogato",3.40078217990138e-06,-12.5915050998881,2,8,"Italian"
"151","affogavi",3.40078217990138e-06,-12.5915050998881,1,8,"Italian"
"152","affoghi",3.40078217990138e-06,-12.5915050998881,2,7,"Italian"
"153","affonda",6.80156435980275e-06,-11.8983579193282,10.5,7,"Italian"
"154","afi",1.02023465397041e-05,-11.49289281122,3,3,"Italian"
"155","afidi",6.80156435980275e-06,-11.8983579193282,12,5,"Italian"
"156","afra",6.80156435980275e-06,-11.8983579193282,1,4,"Italian"
"157","afri",1.02023465397041e-05,-11.49289281122,3,4,"Italian"
"158","afterpick",6.80156435980275e-06,-11.8983579193282,6.5,9,"Italian"
"159","agganci",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"160","aggancia",1.02023465397041e-05,-11.49289281122,7,8,"Italian"
"161","agganciare",3.74086039789152e-05,-10.1936098270897,12.1818181818182,10,"Italian"
"162","aggancio",6.80156435980275e-06,-11.8983579193282,3.5,8,"Italian"
"163","aggeggio",1.02023465397041e-05,-11.49289281122,9,8,"Italian"
"164","aggiungere",3.40078217990138e-06,-12.5915050998881,5,10,"Italian"
"165","aggiungi",3.40078217990138e-06,-12.5915050998881,6,8,"Italian"
"166","aggiungiamo",3.40078217990138e-06,-12.5915050998881,12,11,"Italian"
"167","aggiunto",3.40078217990138e-06,-12.5915050998881,6,8,"Italian"
"168","aggiusta",4.08093861588165e-05,-10.1065984501001,3.41666666666667,8,"Italian"
"169","aggiustala",6.80156435980275e-06,-11.8983579193282,1.5,10,"Italian"
"170","aggiustalo",6.80156435980275e-06,-11.8983579193282,2,10,"Italian"
"171","aggiustando",3.40078217990138e-06,-12.5915050998881,2,11,"Italian"
"172","aggiustare",6.80156435980275e-06,-11.8983579193282,10,10,"Italian"
"173","aggiustarla",6.80156435980275e-06,-11.8983579193282,11.5,11,"Italian"
"174","aggiustarlo",6.80156435980275e-06,-11.8983579193282,9,11,"Italian"
"175","aggiustata",6.80156435980275e-06,-11.8983579193282,6.5,10,"Italian"
"176","aggiustato",6.80156435980275e-06,-11.8983579193282,3,10,"Italian"
"177","aggiusti",3.40078217990138e-06,-12.5915050998881,2,8,"Italian"
"178","aggiustiamo",1.36031287196055e-05,-11.2052107387682,3.5,11,"Italian"
"179","aggiusto",6.80156435980275e-06,-11.8983579193282,2.5,8,"Italian"
"180","aggrovigliato",3.40078217990138e-06,-12.5915050998881,8,13,"Italian"
"181","agguanta",3.40078217990138e-06,-12.5915050998881,21,8,"Italian"
"182","aghi",3.40078217990138e-06,-12.5915050998881,7,4,"Italian"
"183","agip",3.40078217990138e-06,-12.5915050998881,26,4,"Italian"
"184","agiu",1.70039108995069e-05,-10.982067187454,1.8,4,"Italian"
"185","agli",6.80156435980276e-05,-9.59577282633411,7.9,4,"Italian"
"186","agnellino",1.36031287196055e-05,-11.2052107387682,6.75,9,"Italian"
"187","Agnese",6.80156435980275e-06,-11.8983579193282,4,6,"Italian"
"188","ago",2.04046930794083e-05,-10.79974563066,7.5,3,"Italian"
"189","agra",3.40078217990138e-06,-12.5915050998881,2,4,"Italian"
"190","Agrabah",6.80156435980275e-06,-11.8983579193282,5,7,"Italian"
"191","agricolo",3.40078217990138e-06,-12.5915050998881,10,8,"Italian"
"192","agro",3.40078217990138e-06,-12.5915050998881,2,4,"Italian"
"193","aguzzi",6.80156435980275e-06,-11.8983579193282,9.5,6,"Italian"
"194","ah",0.00458425437850706,-5.38512780841585,4.81305637982196,2,"Italian"
"195","aha",0.000102023465397041,-9.19030771822595,3.73333333333333,3,"Italian"
"196","ahaa",3.40078217990138e-06,-12.5915050998881,4,4,"Italian"
"197","ahah",1.70039108995069e-05,-10.982067187454,4.8,4,"Italian"
"198","ahaha",1.36031287196055e-05,-11.2052107387682,1.75,5,"Italian"
"199","ahahah",1.36031287196055e-05,-11.2052107387682,3,6,"Italian"
"200","aham",3.40078217990138e-06,-12.5915050998881,6,4,"Italian"
"201","ahh",2.38054752593096e-05,-10.6455949508328,4.42857142857143,3,"Italian"
"202","ahhh",6.80156435980275e-06,-11.8983579193282,6.5,4,"Italian"
"203","ahi",0.000200646148614181,-8.51396765598238,4.67796610169492,3,"Italian"
"204","ahia",5.10117326985207e-05,-9.88345489878589,3,4,"Italian"
"205","ahia+bu",3.40078217990138e-06,-12.5915050998881,8,7,"Italian"
"206","ahiahi",3.40078217990138e-06,-12.5915050998881,5,6,"Italian"
"207","ahiahiahi",3.06070396191124e-05,-10.3942805225519,5,9,"Italian"
"208","ahiahiahia",3.40078217990138e-06,-12.5915050998881,8,10,"Italian"
"209","ahiahiahiahi",3.40078217990138e-06,-12.5915050998881,7,12,"Italian"
"210","ahiai",3.40078217990138e-06,-12.5915050998881,2,5,"Italian"
"211","ahio",2.04046930794083e-05,-10.79974563066,3,4,"Italian"
"212","ahm",6.80156435980276e-05,-9.59577282633411,3.7,3,"Italian"
"213","ai",0.000326475089270532,-8.02715690842026,8.85416666666667,2,"Italian"
"214","aia",1.70039108995069e-05,-10.982067187454,3.6,3,"Italian"
"215","aiaiaiai",3.40078217990138e-06,-12.5915050998881,5,8,"Italian"
"216","aih",3.40078217990138e-06,-12.5915050998881,3,3,"Italian"
"217","aihh",3.40078217990138e-06,-12.5915050998881,1,4,"Italian"
"218","aihoi",3.40078217990138e-06,-12.5915050998881,12,5,"Italian"
"219","aiih",6.80156435980275e-06,-11.8983579193282,6,4,"Italian"
"220","aiuta",0.000112225811936745,-9.09499753842162,6.72727272727273,5,"Italian"
"221","aiutalo",3.40078217990138e-06,-12.5915050998881,5,7,"Italian"
"222","aiutami",5.78132970583234e-05,-9.75829175583189,7.35294117647059,7,"Italian"
"223","aiutanti",3.40078217990138e-06,-12.5915050998881,14,8,"Italian"
"224","aiutare",2.38054752593096e-05,-10.6455949508328,10.4285714285714,7,"Italian"
"225","aiutatemi",3.40078217990138e-06,-12.5915050998881,4,9,"Italian"
"226","aiutato",3.40078217990138e-06,-12.5915050998881,9,7,"Italian"
"227","aiuti",0.000102023465397041,-9.19030771822595,6.23333333333333,5,"Italian"
"228","aiuto",0.000360482911069546,-7.92806600577604,5.08490566037736,5,"Italian"
"229","al",0.00223771467437511,-6.10230016856278,7.95136778115502,2,"Italian"
"230","Al",3.40078217990138e-06,-12.5915050998881,9,2,"Italian"
"231","ala",3.40078217990138e-06,-12.5915050998881,8,3,"Italian"
"232","Aladino",0.000108825029756844,-9.12576919708838,7.125,7,"Italian"
"233","alberelli",3.40078217990138e-06,-12.5915050998881,19,9,"Italian"
"234","alberello",1.36031287196055e-05,-11.2052107387682,9.25,9,"Italian"
"235","albergo",6.80156435980275e-06,-11.8983579193282,15,7,"Italian"
"236","alberi",0.000112225811936745,-9.09499753842162,12.2121212121212,6,"Italian"
"237","Alberi",3.40078217990138e-06,-12.5915050998881,4,6,"Italian"
"238","alberini",1.02023465397041e-05,-11.49289281122,5,8,"Italian"
"239","alberino",4.08093861588165e-05,-10.1065984501001,7.58333333333333,8,"Italian"
"240","albero",0.000336677435810236,-7.99638524975351,9.12121212121212,6,"Italian"
"241","alberone",3.40078217990138e-06,-12.5915050998881,4,8,"Italian"
"242","album",3.40078217990138e-06,-12.5915050998881,8,5,"Italian"
"243","alcuni",6.80156435980275e-06,-11.8983579193282,10.5,6,"Italian"
"244","Aldo",3.40078217990138e-06,-12.5915050998881,8,4,"Italian"
"245","Ale",3.40078217990138e-06,-12.5915050998881,34,3,"Italian"
"246","alé",2.7206257439211e-05,-10.5120635582083,2.875,3,"Italian"
"247","alè",3.40078217990138e-06,-12.5915050998881,1,3,"Italian"
"248","Aleessandro",3.40078217990138e-06,-12.5915050998881,21,11,"Italian"
"249","Alessandra",8.16187723176331e-05,-9.41345126954016,6.79166666666667,10,"Italian"
"250","Alessandro",0.000251657881312702,-8.28744000668393,9.09459459459459,10,"Italian"
"251","Alessia",6.80156435980275e-06,-11.8983579193282,19,7,"Italian"
"252","ali",2.7206257439211e-05,-10.5120635582083,8.875,3,"Italian"
"253","Ali",3.40078217990138e-06,-12.5915050998881,2,3,"Italian"
"254","all",3.40078217990138e-06,-12.5915050998881,1,3,"Italian"
"255","all'",0.000527121237884714,-7.54807998296886,8.78709677419355,4,"Italian"
"256","all'accetta",3.40078217990138e-06,-12.5915050998881,5,11,"Italian"
"257","all'albergo",6.80156435980275e-06,-11.8983579193282,19,11,"Italian"
"258","all'asilo",2.38054752593096e-05,-10.6455949508328,6.71428571428571,9,"Italian"
"259","all'inizio",6.80156435980275e-06,-11.8983579193282,5,10,"Italian"
"260","all'orsetto",6.80156435980275e-06,-11.8983579193282,5.5,11,"Italian"
"261","all'orso",3.40078217990138e-06,-12.5915050998881,13,8,"Italian"
"262","all'uccellino",3.40078217990138e-06,-12.5915050998881,5,13,"Italian"
"263","all'uccello",3.40078217990138e-06,-12.5915050998881,6,11,"Italian"
"264","alla",0.00167998639687128,-6.38896958270018,8.69230769230769,4,"Italian"
"265","allacci",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"266","allaccio",3.40078217990138e-06,-12.5915050998881,3,8,"Italian"
"267","allaghiamo",6.80156435980275e-06,-11.8983579193282,4.5,10,"Italian"
"268","allarghiamo",3.40078217990138e-06,-12.5915050998881,4,11,"Italian"
"269","allargo",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"270","alle",0.000227852406053392,-8.38681248049714,9.6865671641791,4,"Italian"
"271","alleen",3.40078217990138e-06,-12.5915050998881,5,6,"Italian"
"272","allegra",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"273","allegre",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
"274","allegri",3.40078217990138e-06,-12.5915050998881,19,7,"Italian"
"275","alleluia",1.70039108995069e-05,-10.982067187454,2.6,8,"Italian"
"276","allergica",3.40078217990138e-06,-12.5915050998881,5,9,"Italian"
"277","allo",6.80156435980276e-05,-9.59577282633411,8.2,4,"Italian"
"278","allodola",1.02023465397041e-05,-11.49289281122,2.66666666666667,8,"Italian"
"279","allontanare",3.40078217990138e-06,-12.5915050998881,12,11,"Italian"
"280","allor",3.40078217990138e-06,-12.5915050998881,4,5,"Italian"
"281","allora",0.0044380207447713,-5.41754678013131,8.50727969348659,6,"Italian"
"282","Allora",4.76109505186193e-05,-9.95244777027284,23.1428571428571,6,"Italian"
"283","allòra",3.40078217990138e-06,-12.5915050998881,5,6,"Italian"
"284","allore",3.40078217990138e-06,-12.5915050998881,10,6,"Italian"
"285","allunga",6.80156435980275e-06,-11.8983579193282,23.5,7,"Italian"
"286","allungano",3.40078217990138e-06,-12.5915050998881,6,9,"Italian"
"287","allungherá",3.40078217990138e-06,-12.5915050998881,4,10,"Italian"
"288","allunghi",6.80156435980275e-06,-11.8983579193282,6.5,8,"Italian"
"289","almeno",6.80156435980276e-05,-9.59577282633411,9.05,6,"Italian"
"290","Alminacco",3.40078217990138e-06,-12.5915050998881,5,9,"Italian"
"291","alone",3.40078217990138e-06,-12.5915050998881,4,5,"Italian"
"292","alora",3.40078217990138e-06,-12.5915050998881,6,5,"Italian"
"293","alra",3.40078217990138e-06,-12.5915050998881,4,4,"Italian"
"294","alright",3.40078217990138e-06,-12.5915050998881,4,7,"Italian"
"295","alt",6.80156435980275e-06,-11.8983579193282,3.5,3,"Italian"
"296","alta",8.16187723176331e-05,-9.41345126954016,6.29166666666667,4,"Italian"
"297","altalena",6.80156435980276e-05,-9.59577282633411,6.65,8,"Italian"
"298","altalene",3.40078217990138e-06,-12.5915050998881,2,8,"Italian"
"299","alte",2.7206257439211e-05,-10.5120635582083,7.625,4,"Italian"
"300","altezza",3.40078217990138e-06,-12.5915050998881,6,7,"Italian"
"301","alti",3.40078217990138e-06,-12.5915050998881,22,4,"Italian"
"302","alto",0.000190443802074477,-8.56615340915295,7.78571428571429,4,"Italian"
"303","altr'",6.80156435980275e-06,-11.8983579193282,6.5,5,"Italian"
"304","altra",0.000945417446012583,-6.96388398619747,8.58992805755396,5,"Italian"
"305","altre",0.000238054752593096,-8.34300985783874,7.67142857142857,5,"Italian"
"306","altri",0.000414895425947968,-7.78748405515485,9.13114754098361,5,"Italian"
"307","altrimenti",6.80156435980276e-05,-9.59577282633411,11.4,10,"Italian"
"308","altro",0.0017173950008502,-6.36694667061274,7.92079207920792,5,"Italian"
"309","alveare",2.38054752593096e-05,-10.6455949508328,5.14285714285714,7,"Italian"
"310","alza",8.50195544975344e-05,-9.3726292750199,6.4,4,"Italian"
"311","alzando",3.40078217990138e-06,-12.5915050998881,8,7,"Italian"
"312","alzano",3.40078217990138e-06,-12.5915050998881,11,6,"Italian"
"313","alzarci",3.40078217990138e-06,-12.5915050998881,9,7,"Italian"
"314","alzare",1.02023465397041e-05,-11.49289281122,6.33333333333333,6,"Italian"
"315","alzarlo",6.80156435980275e-06,-11.8983579193282,12,7,"Italian"
"316","alzarmi",1.02023465397041e-05,-11.49289281122,9.33333333333333,7,"Italian"
"317","alzarsi",6.80156435980275e-06,-11.8983579193282,15.5,7,"Italian"
"318","alzarti",6.80156435980275e-06,-11.8983579193282,4,7,"Italian"
"319","alzata",3.40078217990138e-06,-12.5915050998881,8,6,"Italian"
"320","alzati",2.38054752593096e-05,-10.6455949508328,7.71428571428571,6,"Italian"
"321","alzato",3.40078217990138e-05,-10.2889200068941,9.4,6,"Italian"
"322","alzavano",3.40078217990138e-06,-12.5915050998881,13,8,"Italian"
"323","alzi",2.04046930794083e-05,-10.79974563066,9.66666666666667,4,"Italian"
"324","alziamo",3.40078217990138e-06,-12.5915050998881,9,7,"Italian"
"325","alzo",6.80156435980275e-06,-11.8983579193282,8,4,"Italian"
"326","am",1.36031287196055e-05,-11.2052107387682,6.25,2,"Italian"
"327","ama",1.36031287196055e-05,-11.2052107387682,5.5,3,"Italian"
"328","amari",3.40078217990138e-06,-12.5915050998881,9,5,"Italian"
"329","amaro",6.80156435980275e-06,-11.8983579193282,12.5,5,"Italian"
"330","ambarabà",6.80156435980275e-06,-11.8983579193282,2,8,"Italian"
"331","Ambra",3.40078217990138e-06,-12.5915050998881,5,5,"Italian"
"332","ambulanza",2.7206257439211e-05,-10.5120635582083,6.875,9,"Italian"
"333","Ame",3.40078217990138e-06,-12.5915050998881,7,3,"Italian"
"334","Amelia",2.04046930794083e-05,-10.79974563066,11.1666666666667,6,"Italian"
"335","amente",3.40078217990138e-06,-12.5915050998881,6,6,"Italian"
"336","America",1.02023465397041e-05,-11.49289281122,15.3333333333333,7,"Italian"
"337","Americano",3.40078217990138e-06,-12.5915050998881,4,9,"Italian"
"338","amica",5.10117326985207e-05,-9.88345489878589,9,5,"Italian"
"339","amichetta",1.70039108995069e-05,-10.982067187454,8.2,9,"Italian"
"340","amichetti",6.80156435980275e-06,-11.8983579193282,8,9,"Italian"
"341","amici",5.78132970583234e-05,-9.75829175583189,7.17647058823529,5,"Italian"
"342","amicizia",3.40078217990138e-06,-12.5915050998881,7,8,"Italian"
"343","amico",6.80156435980276e-05,-9.59577282633411,8.3,5,"Italian"
"344","ammala",3.40078217990138e-06,-12.5915050998881,11,6,"Italian"
"345","ammalarsi",3.40078217990138e-06,-12.5915050998881,6,9,"Italian"
"346","ammalata",1.36031287196055e-05,-11.2052107387682,7.5,8,"Italian"
"347","ammalato",1.36031287196055e-05,-11.2052107387682,10,8,"Italian"
"348","ammazza",6.80156435980275e-06,-11.8983579193282,2.5,7,"Italian"
"349","ammazzare",6.80156435980275e-06,-11.8983579193282,7.5,9,"Italian"
"350","ammazzato",2.7206257439211e-05,-10.5120635582083,5.25,9,"Italian"
"351","ammazzi",1.02023465397041e-05,-11.49289281122,3.66666666666667,7,"Italian"
"352","ammazzo",3.40078217990138e-06,-12.5915050998881,7,7,"Italian"
"353","ammh",3.40078217990138e-06,-12.5915050998881,3,4,"Italian"
"354","ammirando",3.40078217990138e-06,-12.5915050998881,3,9,"Italian"
"355","ammodino",2.7206257439211e-05,-10.5120635582083,7.625,8,"Italian"
"356","ammodo",1.02023465397041e-05,-11.49289281122,3.33333333333333,6,"Italian"
"357","ammollo",3.40078217990138e-06,-12.5915050998881,3,7,"Italian"
