word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount
ta-r,268,268,7.141791044776119,NA,3,42,4,Swedish,387670
av,468,468,8.286324786324787,NA,80,7,2,Swedish,387670
byx-er-na,11,11,8.181818181818182,NA,5,NA,9,Swedish,387670
ha-r,3590,3590,7.2487465181058495,1,100,719,4,Swedish,387670
tröja-n,8,8,10.125,NA,1,1,7,Swedish,387670
ing-a,117,117,6.3760683760683765,NA,5,8,5,Swedish,387670
byx-er,17,17,6.235294117647059,NA,8,2,6,Swedish,387670
dej,981,981,7.883792048929664,NA,387,NA,3,Swedish,387670
mamma,903,903,7.039867109634551,5,179,109,5,Swedish,387670
också,1758,1758,6.674630261660979,3,881,14,5,Swedish,387670
efter,186,186,7.301075268817204,NA,43,7,5,Swedish,387670
få-r,2392,2392,7.635451505016722,NA,20,542,4,Swedish,387670
jahahaha,11,11,2,9,NA,2,8,Swedish,387670
bord,21,21,6.666666666666667,3,9,NA,4,Swedish,387670
bord-et,100,100,7.78,NA,59,NA,7,Swedish,387670
a,1076,1076,5.424721189591078,92,114,705,1,Swedish,387670
man,2533,2533,8.39755230951441,1,98,251,3,Swedish,387670
ve,76,76,8.052631578947368,4,7,13,2,Swedish,387670
ät-er,245,245,6.624489795918367,1,23,32,5,Swedish,387670
bok,126,126,6.666666666666667,NA,63,NA,3,Swedish,387670
göra,1371,1371,6.6987600291757845,1,470,8,4,Swedish,387670
ludde-s,1,1,7,NA,NA,NA,7,Swedish,387670
skål,18,18,6.611111111111111,4,6,NA,4,Swedish,387670
mat,296,296,7.476351351351352,6,131,9,3,Swedish,387670
tröja,40,40,7.45,1,17,NA,5,Swedish,387670
ett,964,964,7.66390041493776,3,8,121,3,Swedish,387670
märke,9,9,5.666666666666667,NA,3,NA,5,Swedish,387670
sån-t,92,92,9.282608695652174,1,21,4,5,Swedish,387670
heller,131,131,6.702290076335878,NA,85,NA,6,Swedish,387670
kanske,1175,1175,7.4425531914893615,10,286,180,6,Swedish,387670
anna-n,141,141,7.595744680851064,1,9,1,6,Swedish,387670
joo,145,145,3.317241379310345,71,2,71,3,Swedish,387670
läsa,218,218,6.86697247706422,1,32,3,4,Swedish,387670
vänd-er,30,30,7.766666666666667,NA,2,4,7,Swedish,387670
sida-n,66,66,9.409090909090908,NA,32,NA,6,Swedish,387670
här,4959,4959,7.703770921556766,72,1438,558,3,Swedish,387670
da,137,137,7.364963503649635,3,90,3,2,Swedish,387670
titta-r,98,98,8.142857142857142,1,8,8,7,Swedish,387670
näst-a,46,46,9.5,NA,4,4,6,Swedish,387670
sida,34,34,8.147058823529411,NA,13,NA,4,Swedish,387670
tyd-li-t,1,1,11,NA,NA,NA,8,Swedish,387670
ligg-er,196,196,7.1938775510204085,NA,1,15,7,Swedish,387670
säng-en,39,39,8.051282051282051,NA,22,1,7,Swedish,387670
precis,183,183,6.85792349726776,15,28,63,6,Swedish,387670
din,490,490,6.963265306122449,1,42,31,3,Swedish,387670
säng,65,65,7.476923076923077,1,38,1,4,Swedish,387670
sov-er,87,87,6.172413793103448,NA,36,17,6,Swedish,387670
borsta-r,18,18,7.5,NA,NA,NA,8,Swedish,387670
tänd-er-na,59,59,7.389830508474576,NA,32,NA,10,Swedish,387670
når-a,120,120,8.216666666666667,NA,5,2,5,Swedish,387670
tänd-er,30,30,6.8,1,15,NA,7,Swedish,387670
band+spel-are,10,10,3.9,1,6,NA,13,Swedish,387670
snurra-r,30,30,6.566666666666666,NA,10,5,8,Swedish,387670
hmm,3143,3143,1.511294941139039,2766,14,362,3,Swedish,387670
stol,74,74,7.864864864864865,NA,36,NA,4,Swedish,387670
soffa-n,29,29,7.137931034482759,1,12,NA,7,Swedish,387670
få-tt,142,142,8.183098591549296,NA,10,NA,5,Swedish,387670
pyjamas-en,2,2,5,NA,NA,NA,10,Swedish,387670
bak+länges,5,5,5.8,NA,1,NA,10,Swedish,387670
sen,732,732,8.453551912568306,2,280,83,3,Swedish,387670
ing-en,238,238,6.495798319327731,3,11,20,6,Swedish,387670
pyjamas,13,13,6.6923076923076925,NA,8,NA,7,Swedish,387670
ännu,54,54,7.166666666666667,NA,17,7,4,Swedish,387670
kofta,3,3,7.666666666666667,NA,1,NA,5,Swedish,387670
jahaha,155,155,2.5806451612903225,92,1,62,6,Swedish,387670
gå,605,605,8.520661157024794,NA,45,24,2,Swedish,387670
lägga,499,499,7.717434869739479,NA,8,14,5,Swedish,387670
nää,988,988,3.7884615384615383,479,20,480,3,Swedish,387670
snart,119,119,7.2100840336134455,6,32,12,5,Swedish,387670
dricka,150,150,6.366666666666666,2,38,4,6,Swedish,387670
go,54,54,5.888888888888889,1,4,11,2,Swedish,387670
stå-r,270,270,7.351851851851852,NA,9,21,5,Swedish,387670
borta,288,288,6.305555555555555,12,164,1,5,Swedish,387670
baka-t,10,10,5.3,NA,4,1,6,Swedish,387670
jaha,771,771,2.6070038910505837,508,13,243,4,Swedish,387670
komm-er,845,845,8.318343195266273,NA,38,289,7,Swedish,387670
hem,173,173,8.289017341040463,NA,52,1,3,Swedish,387670
far+far,217,217,6.838709677419355,11,61,27,7,Swedish,387670
finn-s,313,313,7.718849840255591,NA,14,49,6,Swedish,387670
andr-a,173,173,8.364161849710984,NA,9,12,6,Swedish,387670
böck-er,11,11,8.181818181818182,NA,5,NA,7,Swedish,387670
någo-n,29,29,9.413793103448276,1,2,1,6,Swedish,387670
ludde+bok,1,1,5,NA,1,NA,9,Swedish,387670
undra-r,24,24,7.958333333333333,NA,NA,7,7,Swedish,387670
var,1397,1397,5.534717251252684,16,7,833,3,Swedish,387670
nog,658,658,7.785714285714286,NA,56,1,3,Swedish,387670
uppe,233,233,7.605150214592275,NA,81,7,4,Swedish,387670
tro-r,1290,1290,7.303100775193799,1,13,323,5,Swedish,387670
mikrofon,11,11,5.545454545454546,NA,7,2,8,Swedish,387670
spänn-ande,15,15,7.066666666666666,NA,8,NA,10,Swedish,387670
blåsa,36,36,6.027777777777778,NA,9,NA,5,Swedish,387670
igen,541,541,6.634011090573013,16,365,3,4,Swedish,387670
uggla,33,33,5.151515151515151,1,23,NA,5,Swedish,387670
säj-er,477,477,6.70649895178197,2,32,72,6,Swedish,387670
uggla-n,11,11,5.090909090909091,NA,5,1,7,Swedish,387670
ek+orre,18,18,4.166666666666667,1,14,1,7,Swedish,387670
kråka,1,1,5,NA,NA,NA,5,Swedish,387670
hare,12,12,7,NA,4,NA,4,Swedish,387670
prata-r,19,19,8.421052631578947,NA,3,2,7,Swedish,387670
mus,27,27,4.962962962962963,1,17,NA,3,Swedish,387670
igel+kott,18,18,4.5,NA,12,1,9,Swedish,387670
vass-a,6,6,7.333333333333333,NA,NA,NA,6,Swedish,387670
tagg-ar,5,5,10.6,NA,2,NA,7,Swedish,387670
sticka,16,16,10.3125,NA,1,NA,6,Swedish,387670
alldeles,158,158,7.424050632911392,NA,1,13,8,Swedish,387670
fördärva-d,1,1,9,NA,NA,NA,10,Swedish,387670
han-s,78,78,6.641025641025641,NA,2,5,5,Swedish,387670
björn+mamma-n,1,1,4,NA,1,NA,13,Swedish,387670
laga-r,24,24,8.25,NA,2,2,6,Swedish,387670
gröt,35,35,6.857142857142857,2,16,NA,4,Swedish,387670
varm-t,41,41,7.097560975609756,NA,18,NA,6,Swedish,387670
spis-en,6,6,7.666666666666667,NA,3,NA,7,Swedish,387670
just,146,146,5.684931506849315,NA,4,33,4,Swedish,387670
lill-e,64,64,6.75,1,2,17,6,Swedish,387670
nalle,109,109,6.238532110091743,2,44,5,5,Swedish,387670
björn,49,49,9.224489795918368,NA,29,NA,5,Swedish,387670
massa,133,133,8.330827067669173,NA,3,9,5,Swedish,387670
lek+sak-er,46,46,7.217391304347826,3,19,4,10,Swedish,387670
sån,667,667,7.607196401799101,2,127,36,3,Swedish,387670
låda,27,27,7.7407407407407405,1,9,NA,4,Swedish,387670
hall-en,4,4,8,NA,3,NA,7,Swedish,387670
likadan,24,24,7.625,1,8,2,7,Swedish,387670
kärra-n,10,10,7,NA,6,2,7,Swedish,387670
där+ute,7,7,4.714285714285714,2,2,NA,7,Swedish,387670
hadå,6,6,4.666666666666667,3,3,NA,4,Swedish,387670
lill-a,260,260,8.173076923076923,1,13,17,6,Swedish,387670
ek+orre-n,4,4,7.75,NA,2,NA,9,Swedish,387670
samm-a,49,49,7.448979591836735,NA,6,4,6,Swedish,387670
fågel,51,51,5.411764705882353,3,31,2,5,Swedish,387670
sä,21,21,6.619047619047619,NA,8,3,2,Swedish,387670
fågl-ar,6,6,7.333333333333333,NA,2,NA,7,Swedish,387670
fågel+bord-et,2,2,11.5,NA,1,NA,13,Swedish,387670
all-a,395,395,9.227848101265822,NA,6,52,5,Swedish,387670
fågl-ar-na,5,5,13.2,NA,1,NA,10,Swedish,387670
vinter-n,15,15,13.8,NA,5,NA,8,Swedish,387670
fågel-n,22,22,4.863636363636363,NA,11,1,7,Swedish,387670
pip,26,26,6.5,2,24,NA,3,Swedish,387670
sedan,79,79,8.291139240506329,1,44,11,5,Swedish,387670
ge,116,116,8.051724137931034,1,2,15,2,Swedish,387670
brö+smul-er,1,1,16,NA,NA,NA,11,Swedish,387670
jo,283,283,5.918727915194347,39,5,232,2,Swedish,387670
väl,629,629,8.058823529411764,NA,78,NA,3,Swedish,387670
de+samm-a,3,3,13.333333333333334,NA,2,NA,9,Swedish,387670
flicka,104,104,7.221153846153846,1,51,1,6,Swedish,387670
knacka-r,20,20,6.4,NA,3,1,8,Swedish,387670
dörr-en,46,46,8.73913043478261,1,21,1,7,Swedish,387670
komma,160,160,9.70625,NA,9,1,5,Swedish,387670
in,559,559,8.815742397137745,3,68,18,2,Swedish,387670
flicka-n,102,102,7.411764705882353,1,26,2,8,Swedish,387670
hoppa-r,63,63,9.19047619047619,NA,4,7,7,Swedish,387670
genom,41,41,8.853658536585366,NA,NA,1,5,Swedish,387670
fönstr-et,20,20,9.3,NA,13,NA,9,Swedish,387670
tåg,69,69,6.144927536231884,2,28,4,3,Swedish,387670
likadan-t,9,9,6.111111111111111,NA,2,1,9,Swedish,387670
smör+gås,53,53,6.735849056603773,2,22,NA,8,Swedish,387670
ingenting,92,92,5.032608695652174,14,41,5,9,Swedish,387670
hä,277,277,2.7978339350180503,192,20,44,2,Swedish,387670
nöja,1,1,7,NA,NA,NA,4,Swedish,387670
oss,135,135,9.577777777777778,NA,52,NA,3,Swedish,387670
detta,196,196,6.316326530612245,3,43,14,5,Swedish,387670
god,92,92,4.478260869565218,NA,65,7,3,Swedish,387670
ing-et,82,82,6.524390243902439,1,12,1,6,Swedish,387670
all-t,71,71,8.690140845070422,NA,9,1,5,Swedish,387670
kaka-n,19,19,6.526315789473684,NA,8,NA,6,Swedish,387670
upp,992,992,8.415322580645162,1,119,25,3,Swedish,387670
smör+gås-en,9,9,8,NA,6,NA,11,Swedish,387670
fil+mjölk-en,2,2,9,1,NA,NA,12,Swedish,387670
först,254,254,8.858267716535433,1,112,35,5,Swedish,387670
stor,294,294,7.761904761904762,2,68,11,4,Swedish,387670
mjölk-en,27,27,5.777777777777778,1,12,2,8,Swedish,387670
go-tt,215,215,4.813953488372093,NA,143,1,5,Swedish,387670
smaka,135,135,5.503703703703704,3,36,9,5,Swedish,387670
gilla-r,34,34,5.617647058823529,NA,NA,6,7,Swedish,387670
jätte+mycke,34,34,8.147058823529411,NA,10,NA,11,Swedish,387670
gjor-t,197,197,6.812182741116751,NA,48,NA,6,Swedish,387670
förut,74,74,8.013513513513514,1,50,1,5,Swedish,387670
visst,101,101,5.376237623762377,8,42,10,5,Swedish,387670
sked,52,52,6.6923076923076925,2,25,1,4,Swedish,387670
kom,414,414,6.685990338164252,27,39,160,3,Swedish,387670
jaa,1585,1585,3.37602523659306,836,14,723,3,Swedish,387670
fil-en,4,4,7,NA,2,NA,6,Swedish,387670
stoppa,68,68,7.426470588235294,NA,2,15,6,Swedish,387670
munn-en,100,100,6.94,1,55,2,7,Swedish,387670
haa,492,492,2.4410569105691056,352,2,138,3,Swedish,387670
när,1417,1417,10.70289343683839,2,4,252,3,Swedish,387670
fil,6,6,6.666666666666667,1,1,NA,3,Swedish,387670
ställe-t,87,87,8,NA,66,NA,8,Swedish,387670
fick,538,538,7.104089219330855,1,10,125,4,Swedish,387670
hand-en,68,68,7.5588235294117645,NA,34,NA,7,Swedish,387670
pudd-ing,1,1,4,NA,NA,NA,8,Swedish,387670
manna+gryn-s+pudd-ing,1,1,4,NA,1,NA,21,Swedish,387670
tyck-er,622,622,6.823151125401929,NA,3,212,7,Swedish,387670
mjölk,142,142,6.21830985915493,2,64,10,5,Swedish,387670
kalv+korv,3,3,3.3333333333333335,1,1,NA,9,Swedish,387670
bröd,19,19,7.315789473684211,2,9,1,4,Swedish,387670
torka,79,79,6.822784810126582,1,13,13,5,Swedish,387670
varför,149,149,5.624161073825503,4,NA,113,6,Swedish,387670
blås-er,21,21,5.809523809523809,NA,1,4,7,Swedish,387670
ske,3,3,8,NA,NA,NA,3,Swedish,387670
fling-er,5,5,2.6,3,1,NA,8,Swedish,387670
behöv-er,117,117,7.555555555555555,NA,2,12,8,Swedish,387670
mycke,385,385,7.646753246753247,1,85,15,5,Swedish,387670
gång,328,328,7.689024390243903,NA,126,NA,4,Swedish,387670
näe,55,55,2.418181818181818,39,2,13,3,Swedish,387670
fil+mjölk,7,7,6.571428571428571,NA,4,1,9,Swedish,387670
bätt-re,118,118,8.169491525423728,NA,35,5,7,Swedish,387670
sked-en,16,16,6.875,1,9,NA,7,Swedish,387670
hälla,99,99,6.818181818181818,1,15,7,5,Swedish,387670
där+i,28,28,5.285714285714286,NA,21,1,5,Swedish,387670
oj,1404,1404,3.1460113960113962,609,401,352,2,Swedish,387670
själv,205,205,7.117073170731707,3,132,1,5,Swedish,387670
bli-r,361,361,7.858725761772853,1,7,29,5,Swedish,387670
fling-or,3,3,5.666666666666667,NA,1,1,8,Swedish,387670
lite,1604,1604,7.538029925187033,6,217,70,4,Swedish,387670
stor-a,130,130,8.392307692307693,2,13,6,6,Swedish,387670
sked-ar,4,4,6,1,1,NA,7,Swedish,387670
vem,1113,1113,5.530098831985624,11,3,772,3,Swedish,387670
mjö,1,1,7,NA,NA,NA,3,Swedish,387670
mugg-en,8,8,7.875,NA,3,NA,7,Swedish,387670
ut,944,944,8.373940677966102,NA,244,3,2,Swedish,387670
ka,432,432,6.761574074074074,1,18,327,2,Swedish,387670
stol-en,49,49,7.387755102040816,2,18,1,7,Swedish,387670
soffa,10,10,6.6,NA,8,NA,5,Swedish,387670
fingr-ar-na,25,25,7.44,NA,8,NA,11,Swedish,387670
mat-en,55,55,7.9818181818181815,NA,32,NA,6,Swedish,387670
häll,17,17,5.117647058823529,1,4,9,4,Swedish,387670
rulla-r,13,13,8.615384615384615,NA,NA,1,7,Swedish,387670
band-et,6,6,8.833333333333334,NA,1,1,7,Swedish,387670
drick-er,51,51,6.764705882352941,NA,3,12,8,Swedish,387670
blanda,4,4,5.25,NA,NA,NA,6,Swedish,387670
jaså,456,456,2.81140350877193,259,2,192,4,Swedish,387670
tack,377,377,3.013262599469496,93,171,76,4,Swedish,387670
ty,13,13,4.3076923076923075,4,3,3,2,Swedish,387670
eller,577,577,7.462738301559792,18,119,202,5,Swedish,387670
dela,30,30,7.666666666666667,NA,1,NA,4,Swedish,387670
kärra,16,16,5.125,2,7,NA,5,Swedish,387670
ät,21,21,6.904761904761905,NA,NA,10,2,Swedish,387670
hn,95,95,2.2526315789473683,66,1,26,2,Swedish,387670
sluta-r,4,4,9.25,NA,NA,NA,7,Swedish,387670
leka,166,166,8.240963855421686,1,17,2,4,Swedish,387670
mätt,16,16,5.125,NA,10,NA,4,Swedish,387670
klar,20,20,5.55,NA,12,NA,4,Swedish,387670
sutt-it,14,14,12.071428571428571,NA,1,NA,7,Swedish,387670
se-tt,111,111,7.1891891891891895,NA,36,NA,5,Swedish,387670
ät-it,60,60,8.55,NA,3,NA,5,Swedish,387670
jätte+dukt-i-t,2,2,7,1,NA,NA,14,Swedish,387670
druck-it,9,9,8.555555555555555,NA,NA,1,8,Swedish,387670
neej,10,10,3.9,5,NA,5,4,Swedish,387670
ju,2426,2426,8.030090684253915,NA,521,1,2,Swedish,387670
usch,27,27,3.5555555555555554,7,9,6,4,Swedish,387670
vänta,208,208,5.336538461538462,36,25,77,5,Swedish,387670
hjälpa,171,171,6.988304093567251,NA,8,2,6,Swedish,387670
tebaka,66,66,8.136363636363637,NA,12,NA,6,Swedish,387670
lek-er,97,97,7.278350515463917,NA,11,17,6,Swedish,387670
gö,39,39,6.410256410256411,NA,8,5,2,Swedish,387670
jah,7,7,1,7,NA,NA,3,Swedish,387670
vadå,12,12,2.5,4,3,5,4,Swedish,387670
sätta,411,411,8.29683698296837,1,3,22,5,Swedish,387670
tillbaka,16,16,9.75,NA,3,NA,8,Swedish,387670
hade,63,63,8.53968253968254,NA,3,9,4,Swedish,387670
dä,121,121,5.338842975206612,12,33,38,2,Swedish,387670
sidan,34,34,8.117647058823529,NA,14,NA,5,Swedish,387670
går,178,178,8.44943820224719,NA,21,14,3,Swedish,387670
nte,1249,1249,6.89751801441153,NA,160,1,3,Swedish,387670
joho,27,27,2.1481481481481484,18,NA,9,4,Swedish,387670
d,47,47,6,4,12,7,1,Swedish,387670
få,447,447,8.176733780760626,1,31,28,2,Swedish,387670
prova,61,61,5.278688524590164,1,8,17,5,Swedish,387670
försök,25,25,4.24,2,3,12,6,Swedish,387670
flyger,14,14,5.714285714285714,NA,3,2,6,Swedish,387670
flygplanet,4,4,4.5,NA,2,1,10,Swedish,387670
ja-ha,3,3,1,3,NA,NA,5,Swedish,387670
flög,32,32,7.59375,NA,4,1,4,Swedish,387670
mallorca,35,35,6.714285714285714,NA,19,NA,8,Swedish,387670
kommer,197,197,7.401015228426396,NA,8,52,6,Swedish,387670
ihåg,418,418,8.557416267942584,NA,45,NA,4,Swedish,387670
ah,215,215,3.902325581395349,94,7,104,2,Swedish,387670
gjorde,65,65,5.984615384615385,NA,3,6,6,Swedish,387670
nån,75,75,8.266666666666667,NA,6,2,3,Swedish,387670
clown,32,32,4.21875,3,14,NA,5,Swedish,387670
sa,980,980,5.206122448979592,1,30,89,2,Swedish,387670
clownen,2,2,3.5,NA,1,NA,7,Swedish,387670
filmar,8,8,3.375,NA,3,3,6,Swedish,387670
fi,10,10,6.1,NA,2,1,2,Swedish,387670
farm,4,4,7.5,1,NA,1,4,Swedish,387670
far-mor,3,3,1.3333333333333333,2,1,NA,7,Swedish,387670
m-m,89,89,2.0786516853932584,62,4,22,3,Swedish,387670
mattan,7,7,7.571428571428571,1,1,1,6,Swedish,387670
u,94,94,5.75531914893617,NA,13,7,1,Swedish,387670
ja-ah,4,4,1,4,NA,NA,5,Swedish,387670
matta,6,6,4.166666666666667,3,2,NA,5,Swedish,387670
komme-x,1,1,5,NA,NA,NA,7,Swedish,387670
vinka-x,2,2,4,NA,NA,NA,7,Swedish,387670
bygga,152,152,8.078947368421053,NA,20,4,5,Swedish,387670
annat,24,24,9,NA,13,NA,5,Swedish,387670
nähä,206,206,1.6116504854368932,173,4,29,4,Swedish,387670
bygg,6,6,6.333333333333333,NA,NA,3,4,Swedish,387670
fint,84,84,5.892857142857143,2,42,NA,4,Swedish,387670
oj-oj-oj,3,3,2.6666666666666665,2,NA,1,8,Swedish,387670
bygge-x,1,1,6,NA,NA,NA,7,Swedish,387670
hallå,68,68,2.838235294117647,27,22,18,5,Swedish,387670
sönde-x,1,1,8,NA,NA,NA,7,Swedish,387670
gjort,26,26,7.538461538461538,NA,5,NA,5,Swedish,387670
bort,248,248,8.169354838709678,1,47,5,4,Swedish,387670
bä-ä-ä-ä,2,2,1,2,NA,NA,8,Swedish,387670
ha-x,72,72,6.680555555555555,NA,3,18,4,Swedish,387670
riktig,3,3,7.333333333333333,NA,NA,NA,6,Swedish,387670
traktor,136,136,6.698529411764706,5,76,NA,7,Swedish,387670
filma-x,1,1,2,NA,1,NA,7,Swedish,387670
frå,3,3,8.333333333333334,NA,NA,1,3,Swedish,387670
frågestund,1,1,6,NA,NA,NA,10,Swedish,387670
