"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"schwarz","German","black","adjectives","descriptive_words","schwarz",264,8.82881648558751,10.6786232620934,7.41718162245953,5.84577715469804,5.42125201744877,5.35874505841504
"Schwein","German","pig","nouns","animals","Schwein",NA,NA,NA,NA,NA,NA,NA
"schwer","German","heavy","adjectives","descriptive_words","schwer",195,9.13176603017008,9.31288098529454,5.78747337869268,3.55056289778222,2.57679190506829,2.27639405112497
"schwimmen","German","swim","verbs","action_words","schwimmen",133,9.51441646051207,9.25359972858149,5.43959344175565,3.14054282992394,2.49323486556304,2.44715003084916
"sehen","German","see","verbs","action_words","sehen",1493,7.09622279119464,6.77654479002536,3.63850177430209,2.23466187900656,1.76412776872743,1.65978795352745
"Seife","German","soap","nouns","household","Seife",NA,NA,NA,NA,NA,NA,NA
"sein","German","his","function_words","pronouns","sein",1370,7.18219956991166,6.73981085582184,2.66932655804075,0.931820037370919,0.571326109079229,0.50271862146536
"Sessel","German","armchair","nouns","furniture_rooms","Sessel",NA,NA,NA,NA,NA,NA,NA
"singen","German","sing","verbs","action_words","singen",56,10.3794138979987,10.2546723417313,5.29011005037241,3.51749979928707,3.21859634045095,3.11886486722379
"sitzen","German","sit","verbs","action_words","sitzen",299,8.70432201534314,9.23778535094772,5.45520346148635,3.46840597882834,2.83218824197571,2.76427642161602
"so","German","like this","function_words","connecting_words","so",16552,4.69050336930845,5.62985094775578,4.55317414738929,3.66370600791649,3.30293869583211,3.22068202556981
"Socken","German","sock","nouns","clothing","Socken",NA,NA,NA,NA,NA,NA,NA
"Sofa","German","couch","nouns","furniture_rooms","Sofa",NA,NA,NA,NA,NA,NA,NA
"soll","German","should","function_words","helping_verbs","soll",3019,6.39208465902699,7.4841076942948,6.2255109623701,5.76353124401255,5.69720007233326,5.68460384213478
"sollst","German","should","function_words","helping_verbs","sollst",99,9.80964573859924,9.91360509790296,6.44356122775473,5.53341097778442,5.47513818042815,5.46503717032715
"Sonne","German","sun","nouns","outside","Sonne",NA,NA,NA,NA,NA,NA,NA
"Soße","German","sauce","nouns","food_drink","Soße",NA,NA,NA,NA,NA,NA,NA
"Spaghetti","German","spaghetti","nouns","food_drink","Spaghetti",NA,NA,NA,NA,NA,NA,NA
"spazieren gehen","German","go for a walk","verbs","action_words","spazieren gehen",NA,NA,NA,NA,NA,NA,NA
"spielen","German","play","verbs","action_words","spielen",669,7.8989815286056,7.42789892151581,3.91498918492775,2.25152016407096,1.684244594566,1.57045625540609
"Spielzeug","German","toy (object)","nouns","toys","Spielzeug",NA,NA,NA,NA,NA,NA,NA
"Spinat","German","spinach","nouns","food_drink","Spinat",NA,NA,NA,NA,NA,NA,NA
"Spinne","German","spider","nouns","animals","Spinne",NA,NA,NA,NA,NA,NA,NA
"springen","German","jump","verbs","action_words","springen",66,10.2151108467074,10.378971309813,5.5106813554917,3.31000497400002,2.78639631651522,2.63141421514407
"spritzen","German","splash","verbs","action_words","spritzen",24,11.2267117583859,11.2660431933655,7.34541702972917,5.40900800933169,5.16091649639891,5.07758316306557
"Spüle","German","sink","nouns","furniture_rooms","Spüle",NA,NA,NA,NA,NA,NA,NA
"Staubsauger","German","vacuum","nouns","household","Staubsauger",NA,NA,NA,NA,NA,NA,NA
"stehen","German","stand","verbs","action_words","stehen",453,8.28887346325079,9.22758182405547,5.45157587255444,3.14392815640106,2.4340035671575,2.3574156191293
"Stein","German","stone","nouns","outside","Stein",NA,NA,NA,NA,NA,NA,NA
"stellen","German","put","verbs","action_words","stellen",193,9.14207539982894,8.34089343906982,5.16684245348374,4.03929046315075,3.41958947044744,3.37156117679463
"Stiefel","German","boots","nouns","clothing","Stiefel",NA,NA,NA,NA,NA,NA,NA
"Stift","German","pen","nouns","toys","Stift",NA,NA,NA,NA,NA,NA,NA
"Stock","German","stick","nouns","outside","Stock",NA,NA,NA,NA,NA,NA,NA
"stoßen","German","hit","verbs","action_words","stoßen",11,12.0068703159355,10.3740585983339,4.84549763275167,4.12961276754579,4.12961276754579,4.12961276754579
"Straße","German","street","nouns","outside","Straße",NA,NA,NA,NA,NA,NA,NA
"Strumpfhose","German","tights","nouns","clothing","Strumpfhose",NA,NA,NA,NA,NA,NA,NA
"Suppe","German","soup","nouns","food_drink","Suppe",NA,NA,NA,NA,NA,NA,NA
"tanzen","German","dance","verbs","action_words","tanzen",52,10.4535218701524,9.63760495116277,4.57488642641369,2.93646639393503,2.27150434631381,2.21751675165885
"Tasse","German","cup","nouns","household","Tasse",NA,NA,NA,NA,NA,NA,NA
"Teddy","German","teddybear","nouns","animals","Teddy",NA,NA,NA,NA,NA,NA,NA
"Tee","German","tea","nouns","food_drink","Tee",NA,NA,NA,NA,NA,NA,NA
"Telefon","German","telephone","nouns","household","Telefon",NA,NA,NA,NA,NA,NA,NA
"Teller","German","plate","nouns","household","Teller",NA,NA,NA,NA,NA,NA,NA
"Tier","German","animal","nouns","animals","Tier",NA,NA,NA,NA,NA,NA,NA
"Tiger","German","tiger","nouns","animals","Tiger",NA,NA,NA,NA,NA,NA,NA
"Tisch","German","table","nouns","furniture_rooms","Tisch",NA,NA,NA,NA,NA,NA,NA
"Toast","German","toast","nouns","food_drink","Toast",NA,NA,NA,NA,NA,NA,NA
"Toilette","German","bathroom","nouns","furniture_rooms","Klo/Toilette",NA,NA,NA,NA,NA,NA,NA
"Tomate","German","tomato","nouns","food_drink","Tomate",NA,NA,NA,NA,NA,NA,NA
"tragen","German","carry","verbs","action_words","tragen",77,10.0609601668801,8.6372720041147,4.62719342734983,2.46890258595342,1.81853427927318,1.73080846755677
"traurig","German","sad","adjectives","descriptive_words","traurig",147,9.41433300195509,9.8346896920782,5.34196921383548,2.71266690773896,1.85391460830824,1.79250028180096
"Trecker","German","tractor","nouns","vehicles","Trecker",NA,NA,NA,NA,NA,NA,NA
"Treppe","German","stairs","nouns","furniture_rooms","Treppe",NA,NA,NA,NA,NA,NA,NA
"treten","German","kick","verbs","action_words","treten",35,10.8494175272444,8.96272194738161,4.62378197341407,2.35276659273743,1.82161949500054,1.63347770926565
"trinken","German","drink (action)","verbs","action_words","trinken",562,8.07326373884013,7.27768232764041,4.06024105172033,2.53358335979817,1.90422698117266,1.80390478534633
"trocken","German","dry (description)","adjectives","descriptive_words","trocken",77,10.0609601668801,10.5307252585889,5.66964930819851,3.1319715964555,2.16325158134779,2.10081840054185
"trocknen","German","dry (action)","verbs","action_words","trocknen",38,10.7671794290074,11.1216676892287,5.82691547877671,3.32644519332522,2.96930752997131,2.87496641153128
"Tshirt","German","shirt","nouns","clothing","Tshirt",NA,NA,NA,NA,NA,NA,NA
"Tür","German","door","nouns","furniture_rooms","Tür",NA,NA,NA,NA,NA,NA,NA
"über","German","above","function_words","locations","über",683,7.87827072916304,8.61543946992528,4.90739971400978,2.87601959036287,2.33875211737525,2.25148686075862
"Uhr","German","clock","nouns","household","Uhr",NA,NA,NA,NA,NA,NA,NA
"um","German","to","function_words","locations","um",1076,7.4237598480121,7.74760221662195,3.86175738850502,2.09490339132037,1.67556674983829,1.62208745207617
"uns","German","us","function_words","pronouns","uns",1146,7.36073269145914,6.6297665971659,3.89816496163312,2.20884129256755,1.68483983060775,1.62381865924205
"unser","German","our","function_words","pronouns","unser",423,8.35739340968755,9.72683271692127,6.84106461962048,5.32737166432679,4.61670344724416,4.46062262901093
"unter","German","under","function_words","locations","unter",525,8.1413673261422,9.26004539108905,5.68127395854352,3.50080838980152,2.94330591882853,2.85511163660322
"Unterhose","German","pants","nouns","clothing","Unterhose",NA,NA,NA,NA,NA,NA,NA
"verletzt","German","hurt (description)","adjectives","descriptive_words","verletzt",12,11.9198589389458,8.73106309945143,3.31159955771311,1.56101395213862,1.24034754325904,1.24034754325904
"verstecken","German","hide","verbs","action_words","verstecken",52,10.4535218701524,11.3550921272461,7.08372856189196,4.76475688831373,4.18839345530911,4.0972979631136
"viel","German","many","function_words","quantifiers","viel",1274,7.25484875260172,7.03222300436897,4.54249721717246,2.485235344034,1.67557760303473,1.56122723091144
"Vogel","German","bird","nouns","animals","Vogel",NA,NA,NA,NA,NA,NA,NA
"voll","German","full","adjectives","descriptive_words","voll",256,8.85958814425426,9.64962896883404,5.92661109346322,3.73775262451798,3.06545447461074,2.89180617040002
"von","German","of","function_words","locations","von",2544,6.56327266427381,6.84290852062829,4.09934083393288,2.50630981926307,2.03376469884178,1.94103240496452
"vorsichtig","German","careful","adjectives","descriptive_words","vorsichtig",438,8.32254667835738,8.95574126085273,6.65148447621443,5.85847998290102,5.6619032368497,5.6224994459104
"Wange","German","cheek","nouns","body_parts","Wange",NA,NA,NA,NA,NA,NA,NA
"wann","German","when (question)","function_words","question_words","wann",280,8.76997598556458,10.2936118606649,8.53663653038024,8.03796889130839,7.8915260934955,7.84851245436528
"warum","German","why","function_words","question_words","warum",1486,7.10092236345612,8.31888357526754,7.63187630513402,7.40959554546215,7.35218588225815,7.3282005429156
"was","German","what","function_words","question_words","was",23673,4.33267515154468,5.0876112546861,4.24689446123183,3.70748990970034,3.51297490548068,3.46479476746772
"waschen","German","wash","verbs","action_words","waschen",82,9.99804634146957,8.04630491909441,4.71287194206956,2.63702394593768,2.33572138946299,2.33572138946299
"Waschmaschine","German","washing machine","nouns","furniture_rooms","Waschmaschine",NA,NA,NA,NA,NA,NA,NA
"Wasser","German","water (beverage)","nouns","food_drink","Wasser",NA,NA,NA,NA,NA,NA,NA
"weg","German","away","function_words","locations","weg",1213,7.30391367978978,7.37783206247148,4.38610715152571,2.2821501626106,1.6846204262977,1.59889860487903
"wegwerfen","German","trash","verbs","action_words","wegwerfen",4,13.0184712276139,7.55838713083138,2.93809516163822,1.04248125036058,0.792481250360578,0.792481250360578
"weich","German","soft","adjectives","descriptive_words","weich",30,11.0035682070717,9.94162956824831,5.30366374731895,2.84095973481091,1.86836755644498,1.78220213975428
"weinen","German","cry","verbs","action_words","weinen",48,10.5335645778259,9.68387654722848,4.94765782835048,2.99659559684571,2.29420069229774,2.12337418511364
"Weintrauben","German","grapes","nouns","food_drink","Weintrauben",NA,NA,NA,NA,NA,NA,NA
"weiß","German","white","adjectives","descriptive_words","weiß",2216,6.70130654086665,6.53247616139158,4.87664727590322,4.16741388473396,4.06768310491412,4.05087073156376
"welche","German","which (question)","function_words","question_words","welche",570,8.05912922790523,9.81337465095859,7.46018741963344,5.96172039332818,5.43833518341847,5.28473765311327
"wer","German","who","function_words","question_words","wer",3461,6.25545274509848,6.82861901316959,5.62067858524319,5.11938287770961,5.00867422938501,4.98160665735277
"werfen","German","throw","verbs","action_words","werfen",24,11.2267117583859,9.13726115808471,4.70666695161319,3.42126031157136,2.73247573544996,2.6908090687833
"wie","German","how","function_words","question_words","wie",4727,5.94371955794059,6.84906858697955,5.0167204946509,4.19873356901162,3.94690944558252,3.87873468807644
"Wind","German","wind","nouns","outside","Wind",NA,NA,NA,NA,NA,NA,NA
"Windel","German","diaper","nouns","clothing","Windel",NA,NA,NA,NA,NA,NA,NA
"wir","German","we","function_words","pronouns","wir",18045,4.60414167165694,3.23804834397636,2.10196855202712,1.75338373083509,1.67842116904691,1.66084256993202
"wischen","German","wipe","verbs","action_words","wischen",51,10.4729399560095,11.0781284614414,7.46392481862217,5.47968367139072,5.02529748239661,4.88550761931926
"wo","German","where (question)","function_words","question_words","wo",5744,5.74885447800577,6.72241371120667,5.73252352334179,5.27418572663753,5.13693599401594,5.08807260400651
"Wohnzimmer","German","living room","nouns","furniture_rooms","Wohnzimmer",NA,NA,NA,NA,NA,NA,NA
"Wolf","German","wolf","nouns","animals","Wolf",NA,NA,NA,NA,NA,NA,NA
"Wolke","German","cloud","nouns","outside","Wolke",NA,NA,NA,NA,NA,NA,NA
"wollen","German","wanna","function_words","helping_verbs","wollen",1851,6.88128427616033,8.21110492285335,6.64217178428433,6.09770091254277,5.99679753013424,5.97538720151222
"Zahn","German","tooth","nouns","body_parts","Zahn",NA,NA,NA,NA,NA,NA,NA
"Zahnbürste","German","toothbrush","nouns","household","Zahnbürste",NA,NA,NA,NA,NA,NA,NA
"Zeh","German","toe","nouns","body_parts","Zeh",NA,NA,NA,NA,NA,NA,NA
"zeichnen","German","draw","verbs","action_words","zeichnen",28,11.0725610785586,6.79503543578783,2.54532179089896,0.719352193470076,0.190708928674451,0.154354574817406
"zeigen","German","show","verbs","action_words","zeigen",136,9.49211070299777,9.3522892773491,4.89675697059928,1.97948335869966,1.07710458642647,0.943140403218086
"ziehen","German","pull","verbs","action_words","ziehen",398,8.41831358344939,8.65599251919538,4.99553528118015,3.09046144468304,2.58170931191049,2.44172620329013
"Zimmer","German","room","nouns","furniture_rooms","Zimmer",NA,NA,NA,NA,NA,NA,NA
"Zucker","German","sugar","nouns","food_drink","Zucker",NA,NA,NA,NA,NA,NA,NA
"zudecken","German","cover (action)","verbs","action_words","zudecken",4,13.0184712276139,10.1257126307909,2.73782117874174,0,0,0
"zugucken","German","watch (action)","verbs","action_words","zugucken",33,10.9082580272673,10.1885055101461,4.20142220780458,1.40601620284249,1.01950446035269,0.904130068775184
"zumachen","German","close","verbs","action_words","zumachen",96,9.84041739726599,9.98249129296139,6.56396559634887,4.68821681615173,4.17896486638176,4.12456494532617
"Zunge","German","tongue","nouns","body_parts","Zunge",NA,NA,NA,NA,NA,NA,NA
"zurück","German","back","function_words","locations","zurück",302,8.69433857135896,7.81911861176898,4.53428883077372,2.17151657579288,1.32014866670041,1.19603414168093
